class,tweet
1,brosconfess bitch ungrat  fr  lulwhor
1,cashandboobi kidnap yo bitch
0, whitethunduh alsarabsss hes beaner smh tell hes mexican
1,ccobey aydanmccoy happi birthday nig thank yo
1,chlldhoodruin ur teacher tell u u homework  bitch need go
1,   nigga eat hoe lol hell yea lol john paul nigga said john paul 
1,canifuckornah would yall lil ugli bald head bitch stop make makeup amp weav
1, leaf better win damn game go riot shit earlychristma better start loot nig
1,causewereguy go back school suck dick hoe attend
1,causewereguy way fuck yo bitch   year old
1,celeynichol whitethunduh come never bring food dont car retard
1,chadmfverbeck richnow doesnt show hella tinder hoe im friend anymor chill brought like like  propl
1,chandlerparson bout cowboy shutup pussi
1,clicquotsuav lmaooooooooooo nigga krillznuhcar  ltbitch want like depress shitfoh
1,coleyce lilaerii girl know spit g shit amp go lbvsbitch plz
1,coleyce let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick
1,comedypost harlem shake excus go full retard  second
1,comedytruth amen miley   dont need act like hoe bc shes emot damag foh
1,corybandz one loyal femal wayyyyy better hoe  idc 
1,crhedri pussi lick pussi meow meow   
1,dbabholloway check  man cowboysn even faggot ny fan stand
1,dgotbrick happen vixen ent bitch got ran threw side like foothil bitch
1,daedavidavi whitethunduh im bitch okay nude pat  wow
0,devilgrimz vigxrart fuck gay blacklist hoe hold tehgodclan anyway 
1,diamondloudkush fuck wrong bitch nobodi know
1, yall shut upp make bitch
1,dionairish hate im pregnant type bitch
1,doyouq got bitch dm dont ever readem top 
2,domworldpeac basebal season win yanke love start
1,dommoneek littl stupid bitch dont fuck yoooooouuuu
1,dreadheadari realli ask dead ass serious tho could say bitch wheet lol
2,dunderbail im earli bird im night owl im wise worm
2,edgarpixar overdos heavi drug doesnt sound bad tonight pussi shit everi day
2, pit bull photograph love fairi tale creatur fairi tale creatur
1,ferociousghost  aw fag dont tweet aw lol
2, long laker trash could careless real cc benbal hahaha
1,frosstyy  didnt say anyth tho kiss faggot
2,funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut   yup
1, could go fat ass bitch lap
1,gedmell  miss call  yo po bitch twitter finna screamn freemoneymell
1,gtmal ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao 
1,    amo los pie  fuck yeah
1,girlthatsvont hoe think meat wont slap ass  ainna bruh
1,girlthatsvont yall bitch wit edg talk 
1,girlthatsvont yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit
1,girllssu wanna sex mom fuck right pussi came damn got hack like fuck
1, kiss u eye open watch bitchlmfao
1,goofstroop woulda coulda shoulda ass hoe 
1,gottiltf happi bday bitch ass nigga jetsandaswisherpreci bitch roll
1,hbmostdop  pipinho use send bitch
1,hbmostdop ugli bitch like im wcw duh bitch aint nobodi 
1,halotgmg  nigga know hacki sack hoe nah throw look pass lmao
1,heartlessfuck glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em
2,hermosaalma isnt ghettoit smart  im idc
1,hiimjorib would wife hoe onli cuz wouldnt care cheat whi forc relationship first place
1,hornyfact singl isnt excus hoe theonemissluu
1, white boy power bitch black power bitch
1, let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill
1,iscoutgirl verballyabrupt bitch u around world back
1,itsyahboiray anelylov dont get dick suck yo parti bad bitch im fr gone set  anelylov 
1,itsyesi oomf soooo cute probabl hoe lot
1, everi cartoon alway  save hoe lmao  lmao damn captain saveaho
2,jreebo want get nose bad boi scalli chav sockfetish stink  hot sox leg
1,jamesynba wish bitch like brother keezi  ooooow bet
1,jasminepor dress cat halloween basic pussi
1,jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get 
1,joebudden stop scare choke dure sex u bitch ass nigga  like say guy hit women bed foh
1, whitethunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig
1,kazatta  oh man  molli ho fuck ya seed fix
1,kelsiebelsi man refer everi girl bitch
1,keyshawnswag lmfao cat start beat shit nigga final got pussi nigga
2,keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash
1,kingcuh  io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha
1, vondreaam naw old tape new cover  upcom mixtap kingofthehil yeah im wait hoe mayn
1,kingteej ol dirti foot ass bitch funni
1, whitethunduh get yellow flag amaz  hell yeah niggi
1,kissmysmile dont got time bitch actin iffi
2,knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut
1,kyranadiya hoe aint loyal  aint smfh amp wonder whi nobodi decent want
1,lcistj bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe
1,lodycash dri pussi bitch alway blame 
1,lunarap shut yo bitch ass  
1,laflaregodjosh gucci mane jail drop mixtap everi month hoe cant even text back
1,latrobemark love hoe money wat wrong nigga
1,lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol
1,lilfridayho easi cum easi hoe fact 
1,lifeasbro charli sheen real  major fuck respect charli sheen
1,lightskingawdd wish bae  got hoe tho
1, fuck twerk bitch cook 
1,linniekravitz wesgodlaflar bitch wtf 
1,lipethegreat  lipethegreat shut zoe fight  zoe im good man good maam move along
1,lolaaisdop lmao fuck snake bitch  em
1,loveableaizah big booti hoe everywher sheesh  damn 
2,mlbnetwork stay tune mlbnetwork updat report yanke    week  bum
2,mrad  play soccer cheat girl wear khaki colour cargo haircut  yes 
1,madflyentist oregon choke everi year get field trash ass program rft
1,mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo
0,markroundtreejr lmfaoooo hate black peopl  whi black peopl nigger
1,  gabrielastarr could u bitch potent
2,  piss lad past would lick dirti sole slept
2,  love frat boy w soft long sole
2,  sexi lad hot sole arch
1,megamindnick whitethunduh nah fam gotta cheat hoe depend femal feel
2,meshanoja vontethekidd  got hick lol
1,migsmichelen new twitter confus shit go back south america bitch
1, toto mean ass vaginai think pussi caus toto santi like nasti pussi
1,mikelahenri actual doe choos ugli bitch  ass must fat
1,mileycyrus bitch couldnt kill vibe ya tri  dis whi love miley 
1,montrel im tire bitch say look mean  nigga big af wear tight shirt grim everybodi
2,motherjon  bird grandkid may never see thank climat chang   climat
1,mvckfadden stay beauti bitch
1,nickiminaj wutkindar purpl ceeeleeeman gurl jus playin stupid hoe  track still shit sum gurl
1,nastycopp money get taller bitch get blurri
1,newsomejad aint never seen bitch obsess  im obsess mine 
1, kobe stay talk trash let forget   meant one smh
0,nochillpaz least im nigger lmfao
1,nofakingg peopl alway ask im mix bad asian bitch lol
0, whiteponyjr ariza snake coward least isnt crippl like hero roach lmaoo
2,osayitaintso  foster home imaginari  whoa chillthat show everyth tf
1,officialreplay lowkey tire tire quiet go sleep hoe
1,prayingforhead  stop bring weird nigger mention  
1,prettybossbrat dont love hoe 
1,patrickquelo yo girl cant homeboy ol weak bitch ass nigga
1,  think worst advic gave  dont pussi speed lol
1,poemsporn quot tweet favorit animalpussi
1,poeticsuccess hate stripper tell theyr dancer hoe ballet dancer dont pop pussi beethoven stripper
1,poffalici andrewbry poff doubl vision  beerspoff  doubl pussi  smh
1,poobi bitch twerk computerm ya  ya damn 
1,prodsjewel   peacepunkprinc princ art  nobodi takin bitch
2,  welfaregovern aid claim white peopl yall black slander trash
1, bitch dont care play role
1,queenkaaat took find hide lime treeiemonaid dis bitch da wrong tree bro
0,rtnba drake new shoe releas nikejordan yes glitter shoe  dude fag
2,rachiesoul dizzleoffici inna di ghetto alon lmaoo
2,ramboutit   ramboutit hoe  teach us austini teach u get curv know
1,reachtheeclimax bitch cant cook know suck dick  one
1,renegademo fat hoe get chose lol
1,riahsm hoesaintloy well theyr hoesno one expect loyal
1,rishaawilliam treshonscroog nevertrustt ol bitch ass 
1,rnadjorel bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo
1,sactownprodigi becaus toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck
1,samjlayman  holi shit freddi highmor charli chocol factorym roll floor laugh
1,samirahus dont want sex gf becaus feel like im use  anonym whata faggot
1,sexualgxf  one follow    somebodi bitch dont
1,shaajenkin ya bitch alway bitch clear care annoy bitch
1,shantaughth catfish hoe thinkin slick nigga catch 
1,shewenttojordan cant worri bitch aint worri bout real
1,showarr side hoe insecur nigga cant handl real one
1,shunstok   lmao bitch come scoot tent like fuck shit 
1,shunstok cousin said share hoe brother said share care love brother 
1,slimgirlprobz im hungri ionn wanna spend money  hoe problem 
1,smeegbabi dese hoe lyin us nigga
1,snakecharmsdump  oh yeah fuck bitch
2,sportscent eli man threw nfllead  intercept season lmao trash
2,sportscent usc senior rb anthoni brown call head coach steve sarkisian racist quit team   hes bitch
1,stellatex guess also zero time mansplain adio stfu pussi
2,stephenwildboy chill   sexi scalli lad
1,strap aint share bitch mine mine 
1,sukmysweet money onli impress simpl broke bitch
1,sylvieamx pisc never anybodi bitch dont let peopl control chang rigghhht
2,teejonez  kingcuh tuku ho idk blah blah blah 
2,teejonez kingcuh  im mad cuh hahaha suur tuku ho ita 
1,tayknosbest hoe crazi
1,taylorrbabe aint ever gonna slice bitch kevin hart 
1,thatniggatroy oomf fuckin fine tho  dam  dont bitch
1,thegamerkingkev wonder girl gave head  boy drink magaluf twitter probli send nude fag
1,thenewsat newsatquestionsyeah bitch yeah bitch call maybeb steveoc laterd jess pinkmanmachinegunkelli
1,thenymphotweet hicki thigh right pussi gtgtgt onli right
1,theonemissluu would still love im longer young beauti ugli monkey ass
1, jetsandaswish gook yall come frontbitch aint come
1, jetsandaswish faggot bitch 
1,therealistsam  yea im ipad dont work friday let ball faggot tropicalblanketi work 
2,  scalli lad would get
0,theomaxximus gerryshalloweenparti  halloween yesterday stupid nigger
1,theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead 
1,  love eat pussi lol never get full  eat shit forev lol ever
1,tmaccgfg  tmaccgfg  slush  nasti anyway  hoe tast like 
1,tmaccgfg  slush  nasti anyway 
1,tmaccgfg bobbi bitchbi  get live fuck hell yea play hoe befor workout
1,trelekidd yo bitch gucci mane rt jabarithegreat  bitch stoner  
1,tweetgamelazi ride bitch handl bar
1,tyjoncuffe aint hoe get traphoussseeee
2,uberfact  sad tv charact death still bitter   stark man
1,unholyjack harbor bitch parti bus hoe lol
1,  pussi love
1,veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey  bitchi promo
1,vineforthebyrd way fuck bitch lmfao kittycopt
2,wbur smuggler explain help fighter along jihadi highway 
1,wbeezi quathegreat aww avi look cute togeth    gotta get ike avi bitch 
1,wbeezi rundrc simpl dont hoedont worri expos  fight mewhi 
1,wannabekany whys bitch boost size isnt exact healthi tho
1,withaprettyfac  bet bitch   kim bye
1,xxpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco
1,xojennygirl im make marack girlfriend  marackaf aye b pullin hoe like taught
1,xoxoangie bruno fag boy love
1,yehitsvon  must   sike naw whi alway beef 
2,yanke  yanke look ralli bottom  rallycap
1,youngricooo  dont take advantag nice  hoe everyjuan
1,youngricooo happi birthday bitch nigga  thank pal
1,youngricooo sad know hoe wont fuck bc aint got stack wait till friday
1,yungmigo  cinco shit harder fucc niggaye fucc wit rich homi cuz dat ya homeboy fucc nicca
1,  ewww said last sundaya last sunday read 
1,badab onli punch real nigga face caus pussi nigga gonna punch right back strong mush shake
1,beedontcar pussi still fresh lt someth stank girl say
1,geewillik ass slap one greatest thing haha  slap girl ass  got mad aint get pussi week
1,tommycollin wearerichnow buffalobil yeah texan much better fuck retard see mad
1,malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like blackampmild
1,sugga lane bitch need stay  left n get right fuck outta face 
1,sneakyb hate boy deni bitch  smh
1,taradis ya nig still say yall dont eat butt straight face
1,yourewelcom im boss ass bitch need sit corner
1,iwantfranni hes hoe  cant
1, paul thinkin bout gettin rental da weekend  shit bitch betta stay da street
1,rapdream bitch hold nigga get lock nigga go colleg militari differ stori 
1,simplycaitlin whi friend hate becaus ratchet hoe
1,adriwadrri love fuck nigga hoe
1, hot meat  sexi fuck scalli lad would love meet trainer
1, sniff  perv scalli lad fuck yeah
1, bitch love sosa
1,alexissixela  legit watch   second  wtf prob caus retard smh
1,allisonnamaya name cat idea mr pussi
1,  woof woof sexi thug boy scalli
1,ambitiousbre  u see damn phone ring  marri bitch make demand havent call
1,analicialouis tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe
1,angelenagoley  sex posit   u call fuck soul outta bitch 
0,ashlingwild itsnotadam bore suppos cute faggot sometim
2,ayyeecee one man trash  anoth man treasur 
1,babineaux dont got type bad bitch onli thing like iongotnotyp
0,bigbootybishopp whitethunduh lassen cc  coach want feel youll get nig doubt
1,bleedingtrap god teeth  gold chainwhit bitch  cocain
1,cheetahbluntz hoe  shhhhh
1,chieflottaho dc call roller chiraq call thot across america known hoe
1, im gonna miss bitch bus driverno wont dont lie
1, hate bitch tri put friendzon bitch im tryin score put endzon  soul
2,complexuk ashley young tri deni bird land mouth gt   hahaha
1,datfullerkid trevaughnlg yall gimp aint tht bitch huh lol
2,deepthroatmik boyssouth take ride   woof woof
1,demieggleton oh god love victoria mitchel bitch love
1,djsliim long distanc shit wack knew bitch cheat uh oh
1,fiirt hes right   bitch smh
1, ban dat pussi life amp gotta pay  millon dollar fine
1,fuckcamoclark rose red violet blue nigger black know true 
2, sit window sill window open bird tri fli smack protecttheanim peta
1,glowstruck nigga gon nigga nigga sound fuckin retard
2,greggutfeld video entir media like mock  crybabi
1,gurlimangi itskiaraaaa westyourmajesti im even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup
1,haitiangold tim tebow got cut everi team nfl alreadi got hoe starkvill smh 
1,hazelebabi karma bitch damn godprotectshisangel  tea
1,hornyjhb fuckin hot gym pussi  fuck yeah
2,hxhassan jihadi patron hajjaj alajmi arrest kuwait airport 
1,iampickuplin call fireman caus turn hoe
1,icrawley could never bbi lil dick thts got abort last bitch oh god
1,idntwearcondom watch women tri argu like dick actual fuck pussi befor hate bitch
1,ilgdaili smoke weed public fuck cop man wanna dont run come retard
2,itrapwatermelon tweeti bird tho 
1,irlfatti pussi sweet like watermelon thotermelon
2,itscoleharmon twitter rapper dm trash link 
1,jsadass loud bitch annoy
1,jacaxeltlu eventu everi bitch turn hoe  truuu
1,jaimescudi tonybthrz jaimescudi swear oomf tri talk tomorrow  barackobama pussi
1,jamajam bitch pretend tf crazi aint never lie
1,jasmyncynique whitethunduh k bye hoe um bye 
0,jayswaggkillah jacki retard blondeproblem least make grill chees
1, ima keep give pussi ass nigga ah reason hate 
2,jethromass photo  sole heaven
0,jgabsss stacey dash   baddest bitch evaaaa
1,juicyyyjayyyi side bitch sunday  
1, fact baldhead bitch made shit  lmao 
1,kayreneee fuck wit us tweakin hoe shmurda
2,kazooook actin like  day wesgodlaflar 
1,kikistfu ill break lil bitch neck wont even feel sorri savag
1,leikant fuck hot scalli sneakersex sockfetish sniff trainersex  love kinki scalli
1,likemicah yall dumb ass nigga press hoe yall weak fuck fuck weed hoe oreo
1,lildurk turn yo bitch eaterrrrrrrrr
1,lildurk dont trust dese hoe nikki told  stay fan screen shot asap finna come chiraq shoot sumn
1,marackaf  aye yall ima tryout bowl team  tryout pass tho two retard
1, u got u want bitch  enjoy  crazi parti would love attend
2,metroadlib color contact eyesblind minecaus cant see lmao
1,michellewestt fact poonsoak onli dude hoe say dont got  
1,midywidey im rea start smack bitch period  bluffin best
1,molssyo life bitch die whi get high caus neva know gonna go sister perfect 
1,molssyo one us drug still wrong  currieburri hahahahahahah im bitch sometim 
1,morgandayle im feel pretti fuckin ghetto smh
2,   dejaaleeann  swear im  man easili easili behind austin nip
1,obeyjrock true ride die bitch   fuck hahahahah
2,oldpicsarch hgwell charli chaplin  histori photographi
1,ortizjaylen see bruno bitch ass twitter wtf bruno see drake voic
1,ozziegarza whitethunduh im cool faggot chill tf cool nigga
1,ozziegarza whitethunduh im sure bitch frfr tf
1,poppunksuck twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet
1,queendulaaa got coupl bitch say know  let money talk  im like wwyd
1,realfort grudg weirdosand bitch
2,rhythmixx told mariam cigarett birthdayyou also call trash rn
2,riananewman  browni tonight kind
1, text back dont give fuck ill text anoth bitch damn someon hurt lol
1,ronaldiongi ummmmmm okay  got hoe left right  yah thang
1,royalswagg use ymxb find slope ass
2,rugbysocklad fit lad nice gear  scalli lad n trainer would get
1,rugbysocklad hell yeah bro  fuck yeah sexi scalli lad hot gear
1,rugbysocklad help mate  love scalli play fuck yeah
1,rugbysocklad lad lad  fuck yeah love scalli lad action hot trainer
1,savagetwoton next year bitch gonna like gotta promis wont expos 
1,scallynikelad  hot rt opcinjen lick bitch  fuck yeah eat trainer u dirti fucker
1,sierrabernia  yall think celebr pussi differ local  yeah meghan good
2,sleepyyongguk saw ajumma walk begin say wow trash cant even listen  lmaoo
1,sniffsockslad need sox  fuck yeah love kinki scalli lad w rank sox sneak
1, dont ever expos femal like childish bitch nigga shiiii
1,socass  socass yassstri new thing bestfriendbitch love
2,socass dude rememb wop video   omg find
1,soxandjox thick raw fuck  damn man pussi get workout
2,soxdawg rawr rt skinrubberboi sexi french scalli love frenchscal  sexi scalli woof woof
1,splurgb nothin life free bitch need write ya 
1,stephencdo currieburri one bitch want burrito u catch potosino huh haha
1,talibanshawtyy nigga whole hoe cuz couldnt said 
1,theaveragerock hardcor way eat mac  boil water  snort chees  drink boil water  fuck bitch
1,thebravebird yourenotmytyp fade perpetu fresher real ass bitch rite
1,thejudyann annoy bitch love  judyann pretti
1,thotmouth lmao bitch got huggi
1,trestiff hi bitch bitchby bitch 
1,trutherbot doe look like bitch elcapacitor
1,whoiscoreyk chase money   hoe  
1,whooligan cant stand dont know want ass nigga  bitch
1,wiganzlad markycrumb gmailshort im way  love chavhot sexi scalli fucker
1,witmyrudeass newli gay bitch dont kno shit work
1,witmyrudeass bitch dont want real job becom stripper lol lol
1, awww meat meat feelinsi ainn n feel bitch
1, want snake bite  industri piercin amp tattoodem hoe accessori dea 
2,worldtravei babi albino   
1,worldwarze hoe aint loyal
1,xoxoclauudia yassssss order chines  bitch ate taco fat fuck
1, made bitch lunch elizabethbatman bitch love lunch
1,brainerbut soon bitch get rich polit power view changepolit whore 
1,pussi day keep devil away doperthanyola
1,aint bitch doe mean
1,bitch want babi dont want children
1,bitch must lost 
1,babi like left side bitch cant cuz street side twitter said aint real
2,bae sound like ghetto word use someth els
1,batter wee cunt jewi cos fuck ex emma isnt batter girl ive nailed move onstop pussi n urself
1,bleed hoe alexa
1,boolin bando wit bitch
2,browni browni love movi 
1,need bad bitch hotter might realist shit partynextdoor ever said feelin everyday
1,way punch bitch
1,caesar home rt naewoodst   much bitch look like let start ape 
2,chines maverick communic comrad  u know give imperialist yank birdi 
1,dad say hi snapchat dad  duce bitch 
1,believ hoe fact loyal disagre believ fact loyalest bunchthes hoe
1,dont know ugli bitch dont know broke niggaskeving
1,dont make make fall live nigga like meee bird  favorit song weeknd
0,dont worri nigga see worri nigga dont see dat da nigga fuckin yo bitch
1,dont ever give pussi away keep tight alright
1,drop stack caus bitch im  song call dopedownload mixtap 
1,dumb bitch dumb thing
1,eat pussi like real nigga hungri
1,eff let go crippl 
1,everyth look better bitch next
1,facto shaunasayomi care hoe ass look like 
1,everi bad bitch nigga tire fuck
1,foreign chick lie man bitch beauti
1,fresh nigga kno need clean bitch kno im work cuz wanna see team rich 
1,fuck  make rule suck dragon ball bitch call goku
2,generat ascii box nodej see abil bring flappybird node via ascii tube bird  
1,get shit bitch fine bear
1,get ass back detroit ya fuckin wigger
1,girl date okay aint mad yo unless stab heart love hoe
1,know twitter password bitch pleas
1,seen show seen hoe wasnt hot would thick
1,bitch hit hoe 
1,marri white woman lucki sumbitch  uncl ruckus
1,wanna nigga im trinna save account   omg imma funni ass bitch man real shit 
1,great grandma hoeher grandma hoeher mom hoe shes hoe long line hoe grandpa carl everyon
0,hey go look video man found kidnap girl ohiowhat nigger  shitmybosssay
1,hey pussi still
2,draft gungho folk send afghanistan war zone show 
1,hotter bitch
1,u talk hoe bout bro n em whi talk hoe bout bro n em
1,crazi bitch hilari
1,know shoe dirti fuck whatev bitch dont calllik negro one first thing look shoe dog
2,thrill billywith hillbilli heart billyraycyrus hahahahaha jesus murphi
1,call bitch makennam
1,cant handl liquor bitch cant handl meeedd  chief sosa
1,dont chase dude chase bitch  edgar bautista
1,dont love hoe babi forev
1,dont even need pictur tamar bitch beat everi 
1,dont hoe 
2,found new way chug open mouth alot shitallysay
1,fuck hate bitch much wanna smack face tongu kiss
1,got bitch set like jada picketqueen latifah ride round niec bitch titi
1,got sister told stop call women bitch
1,guess night bitch die stewi nigga
1,bitch bitch bitch eat halibut  iamyoungroc freshrhym jerksquad slowstir
1,ladylovesh marri still wanna bang hersh wont sex mewhat bitch troubadour probabl
1,heard look candi man bitch
1,hope dont get mad ladi onli call bitch bitch bc dont know name individu katt william letmicahdown
1,got number  im bitch boy
1,know shit eatin grin either fuck girl dream sold car know faggot whatd 
1,onli older men caus theyr maturethat suppos fool us bitch
1,prolli leav bitch cup hand yo hand hand
1,said dont like tast like wolf pussi even know tast like
1,taught eat pussi cut hairi taught eat pussi  movi 
1,use dress like cop toooh reallyyeahright  pussyreallyyesil never forget
1,went jail flock amp came home wit strike went jail bitch came home dike yg
1,fuck u u stand u dizzi bitch two uniqu amp separ phrase overheard relat say younger
1,woke like thi bitch go back bed
1,would rather call bitch sir manag
1,ill beat pussi hard
2,ill slit throatneck 
1,im funki ass honkey  jtimberlak shout macklemor tonight befor cabaret  
1,im compar kfc pussi 
1,im download new person order new face bitch love goddamn axl rose yell sex robot
1,im feelin like malcolm middl bitch surround cant miss em
1,im gonna piss dimpl  stop wast prayer trash team lol
1,im probabl main bitch chocol dip cinnamon appl
1,im sick shit man jonniesantana sit bitch ass im fed bro rt  geno threw yet anoth pick smh
1,im sorri fuck yo bitch realli dig nigga kingl
1,ib irrit bitch syndrom
1,love hide yo bitch youll keep shortywizkhalifa
1,talk back aint get pussym 
1,bad bitch put hand high everi girl room start wave hand around
1,imma tie bitch basement donkeyfuck ass two week straight hahahahahahahahaha  beforeiselfdestruct
1,mindgotta dumb hoe anthem
2,albino mexicanno dad hes asian
1,take true direction accept larri know bitch fan like make boy cri thankyoupaulforconfirminglarri
1,alleg u bedroom u see word naiv amp blind bitch know ur husband cheat u ramona dumb
1,never late tag bitch cyfyr
1,dyke hunter dyke dyke 
1,julia robert ho  nottinghil
2,follow yellow brick twitter
1,lmfaoooooooooooooooooo bbbrook pussi good mama  like guess gotta  mama
2,lol crippl  wendi davi rt mailonlin scientist creat remotecontrol chick studi shi penguin 
1,let nip ahoy spank mayb
0,let kill cracker babi wtf hear wow
1,like correct im wrong doesnt pimpin involv smackin bitch money
1,lmao   rt  pound cake look like pussi  
1,lmao swillalo drose adida lighter phone  shit retard
2,mam  doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit
1,mayb want friend mayb shes stupid bitch never know make cum 
2,mine play dmx kirk franklin smh justcallmebrit well neighbor ghetto  get like  beat kid
0,grandma use call porch monkey time come think refer broken bottl nigger knife 
1,momma told tell mind yoooo damn motha fuckin busi  knowin bitch
1,nip freeeeezingand okay becaus theyr slice 
1,twitter hack  im pussi admit said want act like never said
1,nah girl aint gon abl make tight sinc russ loss job back like damn bitch realli
0,nah nomeekjustmilz  yo thought  photoshop face faggot smmfhi hate yall 
1,new flame song yr lol bitch super run like
1,nigga alway yell fuck bitch get money meanwhil theyr broke still want 
1,nigga press pussi eeeeeen nothin
1,bitch   nan
1,boat hoe pleas thank  mom
2,ovo  amp kendrick lamar still 
1,top pregnant ass sorri hoe aint never got money even water broke   riptallt
2,onli coupl red sox gotten past first base im die laugh mayb yank need teach game
0,peopl time aryan race  stand say befor mongerl turn world ghetto slum 
1,pistol whip dickau shoot yo bitch club upsometim freestyl freestyl im okay
1,rt pleas thank bmorepocahonta pierc pussi come across timelin 
1,remi machiavelli send shot ya belli  bitch 
